n;Site_gestion_date;si ajout;Ordre total;Ordre par jour;Tri si modif;Quadrat;Numéro;Nombre_quadrats;Site;Gestion_2;Parcelle;Gestion_3;Gestion_4;Mixte_isole;Y;X;Green100;Building100;Impervious100;Natural100;Area_gis_m_sq;Aire_steven;id;Quartier;Jours;Gestion_moment_4;Gestion_moment_5;Activite;Periode;Date;Heure_debut;Heure_fin;Temperature;Meteo;Achillea_millefolium;Bellis_perennis;Betonica_officinalis;Campanula_rapunculus;Centaurea_jacea;Centaurium_erythraea;Cerastium_fontanum;Cichorium_intybus;Cirsium_arvense;Cirsium_vulgare;Crepis_capillaris;Daucus_carota;Galium_mollugo;Geranium_dissectum;Geranium_molle;Geranium_pratense;Heracleum_sphondylium;Hypericum_perforatum;Hypochaeris_radicata;Jacobaea_vulgaris;Knautia_arvensis;Lapsana_communis;Lathyrus_latifolius;Leucanthemum_vulgare;Lotus_corniculatus;Malva_alcea_._Malva_moschata;Matricaria_chamomilla_Tripleurospermum_maritimum;Medicago_lupulina;Medicago_sativa;Origanum_vulgare;Picris_hieracioides;Plantago_lanceolata;Prunella_vulgaris;Ranunculus_acris;Ranunculus_repens;Rhinanthus_angustifolius;Rhinanthus_minor;Silene_latifolia;Tanacetum_vulgare;Torilis_japonica;Trifolium_campestre;Trifolium_dubium;Trifolium_pratense;Trifolium_repens;Veronica_arvensis;Veronica_persica;Veronica_serpyllifolia;Vicia_sativa;Vicia_tetrasperma_subsp._tetrasperma;Aglais_io;Andrena_dorsata;Andrena_flavipes;Andrena_fulvago;Andrena_humilis;Andrena_minutula-gr.;Andrena_proxima;Andrena_rosae;Andrena_spec.;Anthophila_indet.;Apis_mellifera;Aricia_agestis;Bombus_lapidarius;Bombus_lucorum;Bombus_pascuorum;Bombus_pratorum;Bombus_spec.;Bombus_terrestris/lucorum/magnus/cryptarum;Bombus_vestalis;Bombus_vestalis/bohemicus;Carcharodus_alceae;Ceratina_cyanea;Cerceris_arenaria;Cerceris_rybyensis;Cerceris_spec.;Cheilosia_pagana;Cheilosia_spec.;Cheilosia_variabilis;Chelostoma_rapunculi;Colletes daviesanus/fodiens/similis;Dasypoda_hirtipes;Dasysyrphus_albostriatus;Episyrphus_balteatus;Eristalis_arbustorum;Eristalis_arbustorum/abusiva;Eristalis_intricaria;Eristalis_nemorum;Eristalis_pertinax;Eristalis_spec.;Eristalis_tenax;Euclidia_glyphica;Eupeodes_corollae;Eupeodes_latifasciatus;Eupeodes_luniger;Halictidae_indet.;Halictus_scabiosae;Helophilus_pendulus;Helophilus_trivittatus;Heriades_truncorum;Hylaeus_communis;Hylaeus_gredleri;Hylaeus_spec.;Lasioglossum_(Dialictus)_spec.;Lasioglossum_(Leuchalictus)_spec.;Lasioglossum_(Sphecodogastra)_spec.;Lasioglossum_leucozonium;Lasioglossum_sexnotatum;Lasioglossum_spec.;Lycaena_phlaeas;Macroglossum_stellatarum;Maniola_jurtina;Megachile_centuncularis;Megachile_spec.;Megachile_willughbiella;Melanostoma_mellinum;Melanostoma_mellinum_Platycheirus_albimanus;Melanostoma_spec.;Mesembrina_meridiana;Myathropa_florea;Neoascia_spec.;Nowickia_ferox;Osmia_leaiana/niveata;Osmia_spinulosa;Panurgus_calcaratus;Paragus_haemorrhous;Pieris_brassicae;Pieris_napi;Pieris_rapae;Pieris_spec.;Pipizella_spec.;Pipizella_viduata;Platycheirus_albimanus;Polygonia_c.album;Polyommatus_icarus;Pyronia_tithonus;Rhopalocera_indet.;Scaeva_pyrastri;Scaeva_selenitica;Scaeva_spec.;Sphaerophoria_scripta;Sphaerophoria_spec.;Sphecodes_spec.;Stelis_punctulatissima;Stomorhina_lunata;Syritta_pipiens;Syrphidae_indet.;Syrphus_ribesii;Syrphus_spec.;Volucella_zonaria
1;Anneau_CN_Fauche_Juin;2;13;9,1;9;2;2;3;Anneau_CN;Fauche;Anneau_CN_Fauche;Fauche;Fleuri;mixte;50,67092;4,612507;14757,30902;12050,59775;5007,263085;5228,231503;2361;2352,413818;1;Centre;B;Fauche;Fleuri;Nulle;1_Juin;21-06-22;11:45:00;12:35:00;18;nuageux;0;11;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;37;1;0;0;0;0;0;0;0;255;0;0;0;0;1;0;2;0;0;0;0;0;49;11;50;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0
2;Anneau_CN_Fauche_miJuillet;68;84;13,1;56;2;2;3;Anneau_CN;Fauche;Anneau_CN_Fauche;Fauche;Fleuri;mixte;50,67092;4,612507;14757,30902;12050,59775;5007,263085;5228,231503;2361;2352,413818;1;Centre;B;Fauche;Fleuri;Nulle;2_miJuillet;10-07-22;16:45:00;17:30:00;21;nuageux;0;5;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;1;28;0;0;0;0;0;0;0;71;0;0;0;6;20;0;0;0;0;0;0;0;12;3;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3;Aula_Tonte_finJuillet;196;156;17;116;44;34;1;Aula;Tonte;Aula_Tonte;Tonte;Tonte;mixte;50,666357;4,60637;16345,26261;4600,931336;949,6576875;0;11943;11990,00488;2;Bruyeres;B;Tonte_tardive;Tonte_tardive;Forte;3_finJuillet;23-07-22;11:50:00;12:20:00;22;soleil;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;19;0;0;0;0;0;0;9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Aula_Tonte_Juin;64;23;16;22;44;34;1;Aula;Tonte;Aula_Tonte;Tonte;Tonte;mixte;50,666357;4,60637;16345,26261;4600,931336;949,6576875;0;11943;11990,00488;2;Bruyeres;C;Tonte_tardive;Tonte_tardive;Forte;1_Juin;22-06-22;10:10:00;10:40:00;19;soleil;0;72;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Aula_Tonte_miJuillet;130;96;23;69;44;34;1;Aula;Tonte;Aula_Tonte;Tonte;Tonte;mixte;50,666357;4,60637;16345,26261;4600,931336;949,6576875;0;11943;11990,00488;2;Bruyeres;C;Tonte_recente;Tonte_recente;Forte;2_miJuillet;11-07-22;16:00:00;16:30:00;24;soleil;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;AvGL_Fauche_finJuillet;160;173;31;129;20;16;1;AvGL;Fauche;AvGL_Fauche;Fauche;Fleuri;mixte;50,670063;4,623615;9827,306641;6529,242285;14002,28611;5132,816804;453;118,6545486;1;Biereau;C;Fauche;Fleuri;Nulle;3_finJuillet;24-07-22;11:00:00;11:30:00;24;soleil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
7;AvGL_Fauche_Juin;28;47;35;35;20;16;1;AvGL;Fauche;AvGL_Fauche;Fauche;Fleuri;mixte;50,670063;4,623615;9827,306641;6529,242285;14002,28611;5132,816804;453;118,6545486;1;Biereau;E;Fauche;Fleuri;Nulle;1_Juin;28-06-22;11:40:00;12:10:00;20;soleil;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;1;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4;0
8;AvGL_Fauche_miJuillet;94;119;39;82;20;16;1;AvGL;Fauche;AvGL_Fauche;Fauche;Fleuri;mixte;50,670063;4,623615;9827,306641;6529,242285;14002,28611;5132,816804;453;118,6545486;1;Biereau;E;Fauche;Fleuri;Nulle;2_miJuillet;13-07-22;14:30:00;15:00:00;29;soleil;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
9;AvGL_Tonte_finJuillet;159;183;37;128;19;16;1;AvGL;Tonte;AvGL_Tonte;Tonte;Tonte;mixte;50,669887;4,624059;6283,915266;6780,912215;14592,46253;6079,53507;478;356,856781;2;Biereau;C;Tonte_tardive;Tonte_tardive;Nulle;3_finJuillet;24-07-22;14:55:00;15:25:00;29;soleil;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;AvGL_Tonte_Juin;27;46;34;34;19;16;1;AvGL;Tonte;AvGL_Tonte;Tonte;Tonte;mixte;50,669887;4,624059;6283,915266;6780,912215;14592,46253;6079,53507;478;356,856781;2;Biereau;E;Tonte_tardive;Tonte_tardive;Nulle;1_Juin;28-06-22;11:00:00;11:30:00;19;soleil;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;10;0;120;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
