Espèces de plantes;Equivalent d'1 entité florale
Achillea millefolium;1 tige portant l'ensemble des capitules
Bellis perennis;1 tige portant 1 capitule
Betonica officinalis;1 tige portant une inflorescence en glomérules
Campanula rapunculus;1 fleur
Centaurea jacea;1 capitule
Centaurium erythraea;Groupe de 2 à 5 fleurs
Cerastium fontanum;1 tige portant une inflorescence en cyme
Cichorium intybus;1 capitule
Cirsium arvense;1 capitule
Cirsium vulgare;1 capitule
Crepis capillaris;1 capitule
Daucus carota;1 ombelle composée
Galium mollugo;1 tige portant quelques inflorescences
Geranium dissectum;1 fleur
Geranium molle;1 fleur
Geranium pratense;1 fleur
Helianthus annuus;1 capitule
Heracleum sphondylium;1 ombelle composée
Hypericum perforatum;Groupe de 2 à 5 fleurs
Hypochaeris radicata;1 capitule
Jacobaea vulgaris;1 corymbe ombelliforme
Knautia arvensis;1 pédoncule portant 1 capitule
Lapsana communis;1 capitule
Lathyrus latifolius;1 fleur
Leucanthemum vulgare;1 capitule
Lotus corniculatus;Groupe de 2 à 5 fleurs
Malva alcea - Malva moschata;1 fleur
Matricaria chamomilla - Tripleurospermum maritimum;1 capitule
Medicago lupulina;1 grappe 
Medicago sativa;1 grappe 
Origanum vulgare;1 épi rapproché en ombelle
Picris hieracioides;1 capitule
Plantago lanceolata;1 épi
Prunella vulgaris;1 épi
Ranunculus acris;1 fleur
Ranunculus repens;1 fleur
Rhinanthus angustifolius;1 fleur
Rhinanthus minor;1 fleur
Silene latifolia;1 fleur
Tanacetum vulgare;1 corymbe composé
Torilis japonica;1 ombelle composée
Trifolium campestre;1 inflorescence en tête globuleuse
Trifolium dubium;1 pédoncule portant une inflorescence en tête sphérique
Trifolium pratense;1 inflorescence en tête globuleuse
Trifolium repens;1 pédoncule portant une inflorescence globuleuse
Veronica arvensis;1 fleur
Veronica persica;1 fleur
Veronica serpyllifolia;1 fleur
Vicia sativa;1 fleur
Vicia tetrasperma subsp. tetrasperma;1 fleur
