Ordre;Site_gestion_date_Quadrat;Qtte_Plantes;Sp_Plantes;individu;Sp_Pollinisateurs;N_Interactions
1;Cyclotron_Tonte_Juin;18;Bellis_perennis;1;Syrphus_spec.;1
2;Cyclotron_Tonte_Juin;18;Bellis_perennis;4;Syrphus_spec.;1
3;Cyclotron_Tonte_Juin;18;Bellis_perennis;3;Syrphus_spec.;2
4;Cyclotron_Tonte_Juin;18;Bellis_perennis;2;Syrphus_ribesii;2
5;Cyclotron_Tonte_Juin;35;Trifolium_repens;2;Syrphus_ribesii;1
6;Cyclotron_Tonte_Juin;35;Trifolium_repens;6;Bombus_pascuorum;1
7;Cyclotron_Tonte_Juin;18;Bellis_perennis;5;Syrphus_spec.;1
8;Cyclotron_Tonte_Juin;1;Prunella_vulgaris;;No;0
9;Hemptinne_Tonte_Juin;16;Bellis_perennis;7;Eupeodes_corollae;1
10;Hemptinne_Tonte_Juin;64;Trifolium_repens;8;Syrphus_spec.;1
11;Hemptinne_Tonte_Juin;64;Trifolium_repens;9;Anthophila_indet.;1
12;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;10;Bombus_lapidarius;5
13;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;11;Platycheirus_albimanus;7
14;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;12;Lasioglossum_(Dialictus)_spec.;2
15;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;13;Lasioglossum_spec.;2
16;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;24;Bombus_terrestris/lucorum/magnus/cryptarum;1
17;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;14;Maniola_jurtina;2
18;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;15;Syrphus_spec.;1
19;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;16;Syrphus_ribesii;1
20;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;17;Lasioglossum_spec.;1
21;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;18;Bombus_lapidarius;13
22;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;19;Episyrphus_balteatus;3
23;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;20;Syrphus_spec.;2
24;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;21;Maniola_jurtina;3
25;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;22;Episyrphus_balteatus;1
26;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;23;Sphaerophoria_spec.;1
27;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;28;Bombus_terrestris/lucorum/magnus/cryptarum;1
28;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;25;Lasioglossum_spec.;1
29;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;26;Episyrphus_balteatus;1
30;Hemptinne_Fauche_Juin_Q1;38;Centaurea_jacea;27;Platycheirus_albimanus;1
31;Hemptinne_Fauche_Juin_Q2;1;Cirsium_vulgare;36;Syrphus_spec.;3
32;Hemptinne_Fauche_Juin_Q2;1;Cirsium_vulgare;29;Platycheirus_albimanus;1
33;Hemptinne_Fauche_Juin_Q2;20;Leucanthemum_vulgare;30;Syrphus_spec.;2
34;Hemptinne_Fauche_Juin_Q2;1;Cirsium_vulgare;31;Maniola_jurtina;1
35;Hemptinne_Fauche_Juin_Q2;1;Cirsium_vulgare;32;Episyrphus_balteatus;1
36;Hemptinne_Fauche_Juin_Q2;20;Leucanthemum_vulgare;33;Syrphus_spec.;1
37;Hemptinne_Fauche_Juin_Q2;20;Leucanthemum_vulgare;34;Syrphus_spec.;2
38;Hemptinne_Fauche_Juin_Q2;1;Jacobaea_vulgaris;35;Syrphus_spec.;1
39;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;46;Syrphus_spec.;1
40;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;37;Sphaerophoria_scripta;1
41;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;38;Episyrphus_balteatus;1
42;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;39;Episyrphus_balteatus;1
43;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;40;Syrphus_spec.;7
44;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;41;Episyrphus_balteatus;3
45;Hemptinne_Fauche_Juin_Q3;6;Prunella_vulgaris;;No;0
46;Hemptinne_Fauche_Juin_Q3;43;Trifolium_dubium;;No;0
47;Hemptinne_Fauche_Juin_Q3;61;Trifolium_repens;45;Apis_mellifera;1
48;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;42;Syrphus_spec.;4
49;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;43;Lasioglossum_spec.;6
50;Hemptinne_Fauche_Juin_Q3;13;Hypochaeris_radicata;44;Episyrphus_balteatus;1
51;Cyclotron_Fauche_Juin;5;Centaurea_jacea;49;Bombus_vestalis/bohemicus;2
52;Cyclotron_Fauche_Juin;4;Crepis_capillaris;;No;0
53;Cyclotron_Fauche_Juin;1;Galium_mollugo;;No;0
54;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;70;Cheilosia_spec.;2
55;Cyclotron_Fauche_Juin;3;Malva_alcea_._Malva_moschata;66;Bombus_lapidarius;2
56;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;47;Cheilosia_spec.;1
57;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;48;Hylaeus_spec.;1
58;Cyclotron_Fauche_Juin;5;Centaurea_jacea;50;Bombus_vestalis/bohemicus;1
